id,name,address,city,cuisine
0,arnie morton's of chicago, 435 s. la cienega blv., los angeles, american
1,art's delicatessen, 12224 ventura blvd., studio city, american
2,hotel bel-air, 701 stone canyon rd., bel air, californian
3,cafe bizou, 14016 ventura blvd., sherman oaks, french
4,campanile, 624 s. la brea ave., los angeles, american
5,chinois on main, 2709 main st., santa monica, french
6,citrus, 6703 melrose ave., los angeles, californian
7,fenix, 8358 sunset blvd. west, hollywood, american
8,granita, 23725 w. malibu rd., malibu, californian
9,grill on the alley, 9560 dayton way, los angeles, american
10,restaurant katsu, 1972 n. hillhurst ave., los angeles, asian
11,l'orangerie, 903 n. la cienega blvd., los angeles, french
12,le chardonnay, 8284 melrose ave., los angeles, french
13,locanda veneta, 3rd st., los angeles, italian
14,matsuhisa, 129 n. la cienega blvd., beverly hills, asian
15,the palm, 9001 santa monica blvd., los angeles, american
16,patina, 5955 melrose ave., los angeles, californian
17,philippe's the original, 1001 n. alameda st., los angeles, american
18,pinot bistro, 12969 ventura blvd., los angeles, french
19,rex il ristorante, 617 s. olive st., los angeles, italian
20,spago, 1114 horn ave., los angeles, californian
21,valentino, 3115 pico blvd., santa monica, italian
22,yujean kang's gourmet chinese cuisine, 67 n. raymond ave., los angeles, asian
23,21 club, 21 w. 52nd st., new york, american
24,aquavit, 13 w. 54th st., new york, continental
25,aureole, 34 e. 61st st., new york, american
26,cafe lalo, 201 w. 83rd st., new york, coffee bar
27,cafe des artistes, 1 w. 67th st., new york, continental
28,carmine's, 2450 broadway  between 90th and 91st sts., new york, italian
29,carnegie deli, 854 7th ave.  between 54th and 55th sts., new york, delicatessen
30,chanterelle, 2 harrison st.  near hudson st., new york, american
31,daniel, 20 e. 76th st., new york, french
32,dawat, 210 e. 58th st., new york, asian
33,felidia, 243 e. 58th st., new york, italian
34,four seasons grill room, 99 e. 52nd st., new york, american
35,gotham bar & grill, 12 e. 12th st., new york, american
36,gramercy tavern, 42 e. 20th st.  between park ave. s and broadway, new york, american
37,island spice, 402 w. 44th st., new york, tel caribbean
38,jo jo, 160 e. 64th st., new york, american
39,la caravelle, 33 w. 55th st., new york, french
40,la cote basque, 60 w. 55th st.  between 5th and 6th ave., new york, french
41,le bernardin, 155 w. 51st st., new york, french
42,les celebrites, 160 central park s, new york, french
43,lespinasse, 2 e. 55th st., new york, american
44,lutece, 249 e. 50th st., new york, french
45,manhattan ocean club, 57 w. 58th st., new york, seafood
46,march, 405 e. 58th st., new york, american
47,mesa grill, 102 5th ave.  between 15th and 16th sts., new york, american
48,mi cocina, 57 jane st.  off hudson st., new york, mexican
49,montrachet, 239 w. broadway  between walker and white sts., new york, french
50,oceana, 55 e. 54th st., new york, seafood
51,park avenue cafe, 100 e. 63rd st., new york, american
52,petrossian, 182 w. 58th st., new york, french
53,picholine, 35 w. 64th st., new york, mediterranean
54,pisces, 95 ave. a at 6th st., new york, seafood
55,rainbow room, 30 rockefeller plaza, new york, or 212/632-5100 american
56,river cafe, 1 water st. at the east river, brooklyn, american
57,san domenico, 240 central park s, new york, italian
58,second avenue deli, 156 2nd ave. at 10th st., new york, delicatessen
59,seryna, 11 e. 53rd st., new york, asian
60,shun lee west, 43 w. 65th st., new york, asian
61,sign of the dove, 1110 3rd ave. at 65th st., new york, american
62,smith & wollensky, 201 e. 49th st., new york, american
63,tavern on the green, in central park at 67th st., new york, american
64,uncle nick's, 747 9th ave.  between 50th and 51st sts., new york, mediterranean
65,union square cafe, 21 e. 16th st., new york, american
66,virgil's, 152 w. 44th st., new york, american
67,chin's, 3200 las vegas blvd. s, las vegas, asian
68,coyote cafe, 3799 las vegas blvd. s, las vegas, southwestern
69,le montrachet, 3000 w. paradise rd., las vegas, continental
70,palace court, 3570 las vegas blvd. s, las vegas, continental
71,second street grille, 200 e. fremont st., las vegas, seafood
72,steak house, 2880 las vegas blvd. s, las vegas, steak houses
73,tillerman, 2245 e. flamingo rd., las vegas, seafood
74,abruzzi, 2355 peachtree rd.  peachtree battle shopping center, atlanta, italian
75,bacchanalia, 3125 piedmont rd.  near peachtree rd., atlanta, international
76,bone's, 3130 piedmont road, atlanta, american
77,brasserie le coze, 3393 peachtree rd.  lenox square mall  near neiman marcus, atlanta, french
78,buckhead diner, 3073 piedmont road, atlanta, american
79,ciboulette, 1529 piedmont ave., atlanta, french
80,delectables, 1 margaret mitchell sq., atlanta, american
81,georgia grille, 2290 peachtree rd.  peachtree square shopping center, atlanta, american
82,hedgerose heights inn, 490 e. paces ferry rd., atlanta, international
83,heera of india, 595 piedmont ave.  rio shopping mall, atlanta, asian
84,indigo coastal grill, 1397 n. highland ave., atlanta, caribbean
85,la grotta, 2637 peachtree rd.  peachtree house condominium, atlanta, italian
86,mary mac's tea room, 224 ponce de leon ave., atlanta, southern
87,nikolai's roof, 255 courtland st.  at harris st., atlanta, continental
88,pano's and paul's, 1232 w. paces ferry rd., atlanta, international
89,cafe  ritz-carlton  buckhead, 3434 peachtree rd., atlanta, ext 6108 international
90,dining room  ritz-carlton  buckhead, 3434 peachtree rd., atlanta, international
91,restaurant  ritz-carlton  atlanta, 181 peachtree st., atlanta, continental
92,toulouse, b peachtree rd., atlanta, french
93,veni vidi vici, 41 14th st., atlanta, italian
94,alain rondelli, 126 clement st., san francisco, french
95,aqua, 252 california st., san francisco, seafood
96,boulevard, 1 mission st., san francisco, american
97,cafe claude, 7 claude la., san francisco, french
98,campton place, 340 stockton st., san francisco, american
99,chez michel, 804 northpoint, san francisco, french
